names,categories,confidence,websites,socials,phones,addresses,omf_name,omf_category,omf_confidence,omf_websites,omf_socials,omf_phones,omf_addresses,clean_omf_name,clean_omf_addresses
"{""primary"":""pizzaria nunes""}","{""primary"":""pizza_restaurant""}",0.23154848046309695,,"[""https://www.facebook.com/111951295062424""]","[""+5511972918588""]","[{""freeform"":""Avenida Morais Costa, 714"",""locality"":""São Paulo"",""postcode"":""03253-000"",""region"":""SP"",""country"":""BR""}]",pizzaria nunes,pizza_restaurant,0.23154848046309695,,https://www.facebook.com/111951295062424,+5511972918588,"Avenida Morais Costa, 714,São Paulo,SP,03253-000",pizzaria nunes,avenida morais costa 714so paulosp03253000
"{""primary"":""JINS""}","{""primary"":""eyewear_and_optician"",""alternate"":[""shopping"",""shoe_store""]}",0.9645127118644068,"[""https://store-jp.jins.com/b/jins/info/20015/""]","[""https://www.facebook.com/230132220334210""]","[""+81985608127""]","[{""freeform"":""新別府町江口862-1"",""postcode"":""880-0834"",""country"":""JP""}]",JINS,eyewear_and_optician,0.9645127118644068,https://store-jp.jins.com/b/jins/info/20015/,https://www.facebook.com/230132220334210,+81985608127,"新別府町江口862-1,,,880-0834",jins,86218800834
"{""primary"":""Marathon Gas""}","{""primary"":""gas_station""}",0.9645127118644068,,"[""https://www.facebook.com/2119190511464810""]","[""+17658553633""]","[{""freeform"":""2351 N Centerville Rd"",""postcode"":""47330"",""country"":""US""}]",Marathon Gas,gas_station,0.9645127118644068,,https://www.facebook.com/2119190511464810,+17658553633,"2351 N Centerville Rd,,,47330",marathon gas,2351 n centerville rd47330
"{""primary"":""Mark C Massaro - Ameriprise Financial Services, Inc.""}","{""primary"":""divorce_and_family_law""}",0.77,"[""http://www.ameripriseadvisors.com/mark.c.massaro/profile/?cid=IP_local_Bing""]",,"[""7166266750""]","[{""freeform"":""17 Limestone Dr Ste 8"",""locality"":""Williamsville"",""postcode"":""14221"",""region"":""NY"",""country"":""US""}]","Mark C Massaro - Ameriprise Financial Services, Inc.",divorce_and_family_law,0.77,http://www.ameripriseadvisors.com/mark.c.massaro/profile/?cid=IP_local_Bing,,7166266750,"17 Limestone Dr Ste 8,Williamsville,NY,14221",mark c massaro  ameriprise financial services inc,17 limestone dr ste 8williamsvilleny14221
"{""primary"":""Kinderarzt Koch""}","{""primary"":""pediatrician"",""alternate"":[""doctor"",""health_and_medical""]}",0.77,"[""http://www.koch-gerdemann.de/""]",,"[""0913122602""]","[{""freeform"":""Michael-Vogel-Str. 1"",""locality"":""Erlangen"",""postcode"":""91052"",""region"":""Bayern"",""country"":""DE""}]",Kinderarzt Koch,pediatrician,0.77,http://www.koch-gerdemann.de/,,0913122602,"Michael-Vogel-Str. 1,Erlangen,Bayern,91052",kinderarzt koch,michaelvogelstr 1erlangenbayern91052
"{""primary"":""Fifth Third Bank""}","{""primary"":""bank_credit_union"",""alternate"":[""financial_service"",""atms""]}",0.9962614185921548,"[""http://www.53.com/""]","[""https://www.facebook.com/138899876157459""]","[""+18134021080""]","[{""freeform"":""3411 W Columbus Dr"",""locality"":""Tampa"",""postcode"":""33607-1821"",""region"":""FL"",""country"":""US""}]",Fifth Third Bank,bank_credit_union,0.9962614185921548,http://www.53.com/,https://www.facebook.com/138899876157459,+18134021080,"3411 W Columbus Dr,Tampa,FL,33607-1821",fifth third bank,3411 w columbus drtampafl336071821
"{""primary"":""Full Steam Tromso""}","{""primary"":""restaurant"",""alternate"":[""cafe"",""seafood_restaurant""]}",0.997898979043525,"[""http://www.fullsteam.no/""]","[""https://www.facebook.com/1177707439045003""]","[""+4792044930""]","[{""freeform"":""Søndre Tollbodgate 3"",""locality"":""Tromsø"",""postcode"":""9008"",""region"":""54"",""country"":""NO""}]",Full Steam Tromso,restaurant,0.997898979043525,http://www.fullsteam.no/,https://www.facebook.com/1177707439045003,+4792044930,"Søndre Tollbodgate 3,Tromsø,54,9008",full steam tromso,sndre tollbodgate 3troms549008
"{""primary"":""Детская городская клиническая больница 9 имени Сперанского Г.Н.""}","{""primary"":""health_and_medical"",""alternate"":[""hospital"",""pediatrician""]}",0.7927927927927928,"[""http://www.dgkb-9.ru/""]","[""https://www.facebook.com/349661745486647""]","[""+74991868325""]","[{""freeform"":""Шмитовский проезд 29 корп 7"",""locality"":""Москва"",""postcode"":""123317"",""country"":""RU""}]",Детская городская клиническая больница 9 имени Сперанского Г.Н.,health_and_medical,0.7927927927927928,http://www.dgkb-9.ru/,https://www.facebook.com/349661745486647,+74991868325,"Шмитовский проезд 29 корп 7,Москва,,123317",    9   ,  29  7123317
"{""primary"":""パパパピッピーズ""}","{""primary"":""desserts"",""alternate"":[""cafe"",""tea_room""]}",0.7927927927927928,,"[""https://www.facebook.com/369694143571490""]","[""+818045605963""]","[{""freeform"":""須磨区行幸町3-7-24"",""locality"":""Kobe-shi"",""postcode"":""6540052"",""region"":""28"",""country"":""JP""}]",パパパピッピーズ,desserts,0.7927927927927928,,https://www.facebook.com/369694143571490,+818045605963,"須磨区行幸町3-7-24,Kobe-shi,28,6540052",,3724kobeshi286540052
"{""primary"":""ISTITUTO DI VIGILANZA LA FIACCOLA snc""}","{""primary"":""professional_services"",""alternate"":[""b2b_science_and_technology""]}",0.3941504178272981,"[""http://www.vigilanzalafiaccola.it/""]","[""https://www.facebook.com/250371898327271""]","[""+39097288950""]","[{""freeform"":""ctr. S. Felice"",""locality"":""Lavello"",""postcode"":""85024"",""country"":""IT""}]",ISTITUTO DI VIGILANZA LA FIACCOLA snc,professional_services,0.3941504178272981,http://www.vigilanzalafiaccola.it/,https://www.facebook.com/250371898327271,+39097288950,"ctr. S. Felice,Lavello,,85024",istituto di vigilanza la fiaccola snc,ctr s felicelavello85024
"{""primary"":""Santolubes Manufacturing""}","{""primary"":""chemical_plant"",""alternate"":[""professional_services"",""commercial_industrial""]}",0.9645127118644068,"[""http://www.santolubes.com""]","[""https://www.facebook.com/107611995997043""]","[""+18645961553""]","[{""freeform"":""2155 W Croft Cir"",""locality"":""Spartanburg"",""postcode"":""29302-3078"",""region"":""SC"",""country"":""US""}]",Santolubes Manufacturing,chemical_plant,0.9645127118644068,http://www.santolubes.com,https://www.facebook.com/107611995997043,+18645961553,"2155 W Croft Cir,Spartanburg,SC,29302-3078",santolubes manufacturing,2155 w croft cirspartanburgsc293023078
"{""primary"":""Prosa & Segredo - Serviços Contábeis & Inteligência Empresarial""}","{""primary"":""accountant"",""alternate"":[""writing_service"",""professional_services""]}",0.3941504178272981,"[""http://www.prosaesegredoms.com.br/""]","[""https://www.facebook.com/141174739406324""]","[""+556733822864""]","[{""freeform"":""Rua Doutor Arthur Jorge, 233"",""locality"":""Campo Grande"",""postcode"":""79002-440"",""region"":""MS"",""country"":""BR""}]",Prosa & Segredo - Serviços Contábeis & Inteligência Empresarial,accountant,0.3941504178272981,http://www.prosaesegredoms.com.br/,https://www.facebook.com/141174739406324,+556733822864,"Rua Doutor Arthur Jorge, 233,Campo Grande,MS,79002-440",prosa  segredo  servios contbeis  inteligncia empresarial,rua doutor arthur jorge 233campo grandems79002440
